tokens,latency_ns,bw_util,occupancy,gridX,gridY,gridZ,blockX,blockY,blockZ,register_per_trhead,static_shared_mem,dyanmic_shared_mem
3200,127008,0.8529,0.125,64,1,4,32,1,4,182,0,69632
3216,129888,0.8457,0.125,64,1,4,32,1,4,182,0,69632
3232,129120,0.8459,0.125,64,1,4,32,1,4,182,0,69632
3248,129312,0.8445,0.125,64,1,4,32,1,4,182,0,69632
3264,131488,0.8468,0.125,64,1,4,32,1,4,182,0,69632
3280,130912,0.8623,0.125,64,1,4,32,1,4,182,0,69632
3296,130400,0.8506,0.125,64,1,4,32,1,4,182,0,69632
3312,132000,0.8542,0.125,64,1,4,32,1,4,182,0,69632
3328,130464,0.8488,0.125,64,1,4,32,1,4,182,0,69632
3344,133664,0.8494,0.125,64,1,4,32,1,4,182,0,69632
3360,133600,0.8545,0.125,64,1,4,32,1,4,182,0,69632
3376,135456,0.8427,0.125,64,1,4,32,1,4,182,0,69632
3392,133792,0.851,0.125,64,1,4,32,1,4,182,0,69632
3408,134528,0.8599,0.125,64,1,4,32,1,4,182,0,69632
3424,135840,0.8493,0.125,64,1,4,32,1,4,182,0,69632
3440,134528,0.8557,0.125,64,1,4,32,1,4,182,0,69632
3456,135360,0.8537,0.125,64,1,4,32,1,4,182,0,69632
3472,139200,0.8516,0.125,64,1,4,32,1,4,182,0,69632
3488,139456,0.8484,0.125,64,1,4,32,1,4,182,0,69632
3504,138112,0.8563,0.125,64,1,4,32,1,4,182,0,69632
3520,140192,0.8639,0.125,64,1,4,32,1,4,182,0,69632
3536,140384,0.8635,0.125,64,1,4,32,1,4,182,0,69632
3552,139840,0.8569,0.125,64,1,4,32,1,4,182,0,69632
3568,139040,0.8602,0.125,64,1,4,32,1,4,182,0,69632
3584,138976,0.8672,0.125,64,1,4,32,1,4,182,0,69632
3600,142624,0.8496,0.125,64,1,4,32,1,4,182,0,69632
3616,142112,0.8476,0.125,64,1,4,32,1,4,182,0,69632
3632,143392,0.8513,0.125,64,1,4,32,1,4,182,0,69632
3648,143520,0.8534,0.125,64,1,4,32,1,4,182,0,69632
3664,146464,0.8619,0.125,64,1,4,32,1,4,182,0,69632
3680,143808,0.8688,0.125,64,1,4,32,1,4,182,0,69632
3696,144672,0.8677,0.125,64,1,4,32,1,4,182,0,69632
3712,145248,0.8691,0.125,64,1,4,32,1,4,182,0,69632
3728,146848,0.8623,0.125,64,1,4,32,1,4,182,0,69632
3744,146176,0.8583,0.125,64,1,4,32,1,4,182,0,69632
3760,147104,0.8644,0.125,64,1,4,32,1,4,182,0,69632
3776,147744,0.8629,0.125,64,1,4,32,1,4,182,0,69632
3792,148512,0.8595,0.125,64,1,4,32,1,4,182,0,69632
3808,148960,0.8535,0.125,64,1,4,32,1,4,182,0,69632
3824,150240,0.8605,0.125,64,1,4,32,1,4,182,0,69632
3840,150144,0.8624,0.125,64,1,4,32,1,4,182,0,69632
3856,149792,0.8624,0.125,64,1,4,32,1,4,182,0,69632
3872,150400,0.8546,0.125,64,1,4,32,1,4,182,0,69632
3888,152704,0.8383,0.125,64,1,4,32,1,4,182,0,69632
3904,151488,0.8755,0.125,64,1,4,32,1,4,182,0,69632
3920,151424,0.8753,0.125,64,1,4,32,1,4,182,0,69632
3936,153824,0.8574,0.125,64,1,4,32,1,4,182,0,69632
3952,152032,0.87,0.125,64,1,4,32,1,4,182,0,69632
3968,152192,0.8739,0.125,64,1,4,32,1,4,182,0,69632
3984,155392,0.857,0.125,64,1,4,32,1,4,182,0,69632
4000,155904,0.8558,0.125,64,1,4,32,1,4,182,0,69632
4016,154976,0.8475,0.125,64,1,4,32,1,4,182,0,69632
4032,157408,0.8639,0.125,64,1,4,32,1,4,182,0,69632
4048,158144,0.8662,0.125,64,1,4,32,1,4,182,0,69632
4064,155936,0.8703,0.125,64,1,4,32,1,4,182,0,69632
4080,158208,0.8734,0.125,64,1,4,32,1,4,182,0,69632
4096,160512,0.8679,0.125,64,1,4,32,1,4,182,0,69632
4112,159136,0.8753,0.125,64,1,4,32,1,4,182,0,69632
4128,159360,0.8739,0.125,64,1,4,32,1,4,182,0,69632
4144,160128,0.8682,0.125,64,1,4,32,1,4,182,0,69632
4160,160384,0.8558,0.125,64,1,4,32,1,4,182,0,69632
4176,160736,0.8656,0.125,64,1,4,32,1,4,182,0,69632
4192,162240,0.8548,0.125,64,1,4,32,1,4,182,0,69632
4208,162752,0.8651,0.125,64,1,4,32,1,4,182,0,69632
4224,162208,0.8561,0.125,64,1,4,32,1,4,182,0,69632
4240,164448,0.8649,0.125,64,1,4,32,1,4,182,0,69632
4256,164640,0.8537,0.125,64,1,4,32,1,4,182,0,69632
4272,164704,0.8732,0.125,64,1,4,32,1,4,182,0,69632
4288,165792,0.8511,0.125,64,1,4,32,1,4,182,0,69632
4304,166624,0.8827,0.125,64,1,4,32,1,4,182,0,69632
4320,167424,0.8781,0.125,64,1,4,32,1,4,182,0,69632
4336,165376,0.8706,0.125,64,1,4,32,1,4,182,0,69632
4352,167456,0.8823,0.125,64,1,4,32,1,4,182,0,69632
4368,169024,0.8489,0.125,64,1,4,32,1,4,182,0,69632
4384,171040,0.8518,0.125,64,1,4,32,1,4,182,0,69632
4400,171456,0.8534,0.125,64,1,4,32,1,4,182,0,69632
4416,170944,0.8664,0.125,64,1,4,32,1,4,182,0,69632
4432,168352,0.879,0.125,64,1,4,32,1,4,182,0,69632
4448,170432,0.8857,0.125,64,1,4,32,1,4,182,0,69632
4464,170400,0.877,0.125,64,1,4,32,1,4,182,0,69632
4480,170432,0.8853,0.125,64,1,4,32,1,4,182,0,69632
4496,174464,0.8687,0.125,64,1,4,32,1,4,182,0,69632
4512,173280,0.8642,0.125,64,1,4,32,1,4,182,0,69632
4528,173760,0.867,0.125,64,1,4,32,1,4,182,0,69632
4544,173856,0.8799,0.125,64,1,4,32,1,4,182,0,69632
4560,174688,0.8742,0.125,64,1,4,32,1,4,182,0,69632
4576,175840,0.8759,0.125,64,1,4,32,1,4,182,0,69632
4592,174912,0.8786,0.125,64,1,4,32,1,4,182,0,69632
4608,176128,0.8766,0.125,64,1,4,32,1,4,182,0,69632
4624,176544,0.8735,0.125,64,1,4,32,1,4,182,0,69632
4640,177504,0.8711,0.125,64,1,4,32,1,4,182,0,69632
4656,177824,0.8856,0.125,64,1,4,32,1,4,182,0,69632
4672,178304,0.8737,0.125,64,1,4,32,1,4,182,0,69632
4688,177504,0.8926,0.125,64,1,4,32,1,4,182,0,69632
4704,178976,0.886,0.125,64,1,4,32,1,4,182,0,69632
4720,178144,0.883,0.125,64,1,4,32,1,4,182,0,69632
4736,178432,0.8782,0.125,64,1,4,32,1,4,182,0,69632
4752,182400,0.8704,0.125,64,1,4,32,1,4,182,0,69632
4768,184128,0.8764,0.125,64,1,4,32,1,4,182,0,69632
4784,183136,0.868,0.125,64,1,4,32,1,4,182,0,69632
4800,183424,0.8721,0.125,64,1,4,32,1,4,182,0,69632
4816,183776,0.8845,0.125,64,1,4,32,1,4,182,0,69632
4832,183424,0.8889,0.125,64,1,4,32,1,4,182,0,69632
4848,183904,0.8888,0.125,64,1,4,32,1,4,182,0,69632
4864,185216,0.8905,0.125,64,1,4,32,1,4,182,0,69632
4880,186912,0.8858,0.125,64,1,4,32,1,4,182,0,69632
4896,185984,0.8752,0.125,64,1,4,32,1,4,182,0,69632
4912,186400,0.882,0.125,64,1,4,32,1,4,182,0,69632
4928,188864,0.8701,0.125,64,1,4,32,1,4,182,0,69632
4944,187872,0.8835,0.125,64,1,4,32,1,4,182,0,69632
4960,188800,0.8869,0.125,64,1,4,32,1,4,182,0,69632
4976,188224,0.8582,0.125,64,1,4,32,1,4,182,0,69632
4992,189568,0.8838,0.125,64,1,4,32,1,4,182,0,69632
5008,191104,0.8829,0.125,64,1,4,32,1,4,182,0,69632
5024,190528,0.8678,0.125,64,1,4,32,1,4,182,0,69632
5040,190400,0.8729,0.125,64,1,4,32,1,4,182,0,69632
5056,192352,0.8828,0.125,64,1,4,32,1,4,182,0,69632
5072,193056,0.8861,0.125,64,1,4,32,1,4,182,0,69632
5088,193632,0.8877,0.125,64,1,4,32,1,4,182,0,69632
5104,193856,0.8825,0.125,64,1,4,32,1,4,182,0,69632
5120,192928,0.8837,0.125,64,1,4,32,1,4,182,0,69632
5136,195648,0.8738,0.125,64,1,4,32,1,4,182,0,69632
5152,196224,0.8798,0.125,64,1,4,32,1,4,182,0,69632
5168,196608,0.8828,0.125,64,1,4,32,1,4,182,0,69632
5184,196320,0.8796,0.125,64,1,4,32,1,4,182,0,69632
5200,195712,0.8868,0.125,64,1,4,32,1,4,182,0,69632
5216,197248,0.8904,0.125,64,1,4,32,1,4,182,0,69632
5232,196352,0.8778,0.125,64,1,4,32,1,4,182,0,69632
5248,196384,0.8923,0.125,64,1,4,32,1,4,182,0,69632
5264,200576,0.877,0.125,64,1,4,32,1,4,182,0,69632
5280,199456,0.8822,0.125,64,1,4,32,1,4,182,0,69632
5296,198816,0.8907,0.125,64,1,4,32,1,4,182,0,69632
5312,199712,0.8888,0.125,64,1,4,32,1,4,182,0,69632
5328,202016,0.8957,0.125,64,1,4,32,1,4,182,0,69632
5344,202464,0.8873,0.125,64,1,4,32,1,4,182,0,69632
5360,201376,0.886,0.125,64,1,4,32,1,4,182,0,69632
5376,204736,0.8884,0.125,64,1,4,32,1,4,182,0,69632
5392,204896,0.8838,0.125,64,1,4,32,1,4,182,0,69632
5408,204096,0.888,0.125,64,1,4,32,1,4,182,0,69632
5424,204864,0.8906,0.125,64,1,4,32,1,4,182,0,69632
5440,203904,0.8895,0.125,64,1,4,32,1,4,182,0,69632
5456,203872,0.8971,0.125,64,1,4,32,1,4,182,0,69632
5472,207232,0.8841,0.125,64,1,4,32,1,4,182,0,69632
5488,207360,0.8929,0.125,64,1,4,32,1,4,182,0,69632
5504,205632,0.8996,0.125,64,1,4,32,1,4,182,0,69632
5520,208032,0.8775,0.125,64,1,4,32,1,4,182,0,69632
5536,209408,0.8693,0.125,64,1,4,32,1,4,182,0,69632
5552,209888,0.8814,0.125,64,1,4,32,1,4,182,0,69632
5568,209824,0.8741,0.125,64,1,4,32,1,4,182,0,69632
5584,208064,0.8862,0.125,64,1,4,32,1,4,182,0,69632
5600,212032,0.8889,0.125,64,1,4,32,1,4,182,0,69632
5616,209600,0.8866,0.125,64,1,4,32,1,4,182,0,69632
5632,210432,0.8911,0.125,64,1,4,32,1,4,182,0,69632
5648,215744,0.8848,0.125,64,1,4,32,1,4,182,0,69632
5664,213152,0.8899,0.125,64,1,4,32,1,4,182,0,69632
5680,216160,0.8916,0.125,64,1,4,32,1,4,182,0,69632
5696,214848,0.8929,0.125,64,1,4,32,1,4,182,0,69632
5712,214528,0.8852,0.125,64,1,4,32,1,4,182,0,69632
5728,214656,0.8946,0.125,64,1,4,32,1,4,182,0,69632
5744,213024,0.8956,0.125,64,1,4,32,1,4,182,0,69632
5760,218144,0.8872,0.125,64,1,4,32,1,4,182,0,69632
5776,218976,0.8931,0.125,64,1,4,32,1,4,182,0,69632
5792,218400,0.8822,0.125,64,1,4,32,1,4,182,0,69632
5808,221376,0.8962,0.125,64,1,4,32,1,4,182,0,69632
5824,218944,0.8869,0.125,64,1,4,32,1,4,182,0,69632
5840,218848,0.8958,0.125,64,1,4,32,1,4,182,0,69632
5856,220288,0.8883,0.125,64,1,4,32,1,4,182,0,69632
5872,219488,0.8956,0.125,64,1,4,32,1,4,182,0,69632
5888,220128,0.9025,0.125,64,1,4,32,1,4,182,0,69632
5904,225408,0.88,0.125,64,1,4,32,1,4,182,0,69632
5920,223680,0.8849,0.125,64,1,4,32,1,4,182,0,69632
5936,222880,0.8931,0.125,64,1,4,32,1,4,182,0,69632
5952,222368,0.8933,0.125,64,1,4,32,1,4,182,0,69632
5968,223168,0.8956,0.125,64,1,4,32,1,4,182,0,69632
5984,224224,0.896,0.125,64,1,4,32,1,4,182,0,69632
6000,224832,0.902,0.125,64,1,4,32,1,4,182,0,69632
6016,224832,0.9029,0.125,64,1,4,32,1,4,182,0,69632
6032,224384,0.8955,0.125,64,1,4,32,1,4,182,0,69632
6048,225984,0.8909,0.125,64,1,4,32,1,4,182,0,69632
6064,227776,0.8995,0.125,64,1,4,32,1,4,182,0,69632
6080,227328,0.8846,0.125,64,1,4,32,1,4,182,0,69632
6096,228224,0.8812,0.125,64,1,4,32,1,4,182,0,69632
6112,227776,0.8892,0.125,64,1,4,32,1,4,182,0,69632
6128,229664,0.8959,0.125,64,1,4,32,1,4,182,0,69632
6144,230304,0.8873,0.125,64,1,4,32,1,4,182,0,69632
6160,231840,0.8977,0.125,64,1,4,32,1,4,182,0,69632
6176,231296,0.8921,0.125,64,1,4,32,1,4,182,0,69632
6192,230688,0.893,0.125,64,1,4,32,1,4,182,0,69632
6208,232192,0.8854,0.125,64,1,4,32,1,4,182,0,69632
6224,230432,0.8883,0.125,64,1,4,32,1,4,182,0,69632
6240,230784,0.891,0.125,64,1,4,32,1,4,182,0,69632
6256,233184,0.8978,0.125,64,1,4,32,1,4,182,0,69632
6272,233184,0.9059,0.125,64,1,4,32,1,4,182,0,69632
6288,237184,0.8993,0.125,64,1,4,32,1,4,182,0,69632
