model,batch_size,id,latency_ns
llama3_70b,32,91,172128
llama3_70b,32,92,157856
llama3_70b,32,93,179136
llama3_70b,32,94,188160
llama3_70b,32,95,169087
llama3_70b,32,96,160960
llama3_70b,32,97,171264
llama3_70b,32,98,154144
llama3_70b,32,99,180960
llama3_70b,64,1,288160
llama3_70b,64,10,302720
llama3_70b,64,100,312384
llama3_70b,64,11,329024
llama3_70b,64,12,336352
llama3_70b,64,13,371936
llama3_70b,64,14,310784
llama3_70b,64,15,310976
llama3_70b,64,16,341600
llama3_70b,64,17,319488
llama3_70b,64,18,294688
llama3_70b,64,19,341216
llama3_70b,64,2,326208
llama3_70b,64,20,321152
llama3_70b,64,21,330016
llama3_70b,64,22,320640
llama3_70b,64,23,328448
llama3_70b,64,24,332704
llama3_70b,64,25,320608
llama3_70b,64,26,324928
llama3_70b,64,27,332192
llama3_70b,64,28,359968
llama3_70b,64,29,326112
llama3_70b,64,3,297312
llama3_70b,64,30,353344
llama3_70b,64,31,344736
llama3_70b,64,32,296896
llama3_70b,64,33,363520
llama3_70b,64,34,348064
llama3_70b,64,35,323968
llama3_70b,64,36,325280
llama3_70b,64,37,312352
llama3_70b,64,38,330272
llama3_70b,64,39,342592
llama3_70b,64,4,336352
llama3_70b,64,40,358080
llama3_70b,64,41,322816
llama3_70b,64,42,334784
llama3_70b,64,43,344096
llama3_70b,64,44,360544
llama3_70b,64,45,299808
llama3_70b,64,46,312768
llama3_70b,64,47,320448
llama3_70b,64,48,304960
llama3_70b,64,49,362048
llama3_70b,64,5,312352
llama3_70b,64,50,325248
llama3_70b,64,51,335936
llama3_70b,64,52,341760
llama3_70b,64,53,334784
llama3_70b,64,54,362752
llama3_70b,64,55,328288
llama3_70b,64,56,313536
llama3_70b,64,57,342720
llama3_70b,64,58,316896
llama3_70b,64,59,343616
llama3_70b,64,6,287296
llama3_70b,64,60,333184
llama3_70b,64,61,317120
llama3_70b,64,62,307072
llama3_70b,64,63,356192
llama3_70b,64,64,309696
llama3_70b,64,65,339872
llama3_70b,64,66,338528
llama3_70b,64,67,354240
llama3_70b,64,68,341024
llama3_70b,64,69,324000
llama3_70b,64,7,332864
llama3_70b,64,70,291424
llama3_70b,64,71,299456
llama3_70b,64,72,313280
llama3_70b,64,73,349216
llama3_70b,64,74,325792
llama3_70b,64,75,352480
llama3_70b,64,76,349888
llama3_70b,64,77,360000
llama3_70b,64,78,332320
llama3_70b,64,79,345376
llama3_70b,64,8,329440
llama3_70b,64,80,341248
llama3_70b,64,81,351296
llama3_70b,64,82,325024
llama3_70b,64,83,346656
llama3_70b,64,84,343360
llama3_70b,64,85,350880
llama3_70b,64,86,331840
llama3_70b,64,87,341024
llama3_70b,64,88,303424
llama3_70b,64,89,357088
llama3_70b,64,9,328768
llama3_70b,64,90,316192
llama3_70b,64,91,309088
llama3_70b,64,92,350112
llama3_70b,64,93,311040
llama3_70b,64,94,329408
llama3_70b,64,95,326592
llama3_70b,64,96,365728
llama3_70b,64,97,347488
llama3_70b,64,98,353216
llama3_70b,64,99,335264
